unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59989E+12,9/12/2020 7:00,BTC/USDT,10331.4,10345,10303.53,10343.7,2813.65,29065313.45,15639
1.59989E+12,9/12/2020 6:00,BTC/USDT,10359,10359,10324,10331.39,4215.885,43579147.33,20236
1.59989E+12,9/12/2020 5:00,BTC/USDT,10359.25,10370,10354.93,10359,1572.482,16295599.56,13240
1.59988E+12,9/12/2020 4:00,BTC/USDT,10342.4,10366,10338,10359.25,1859.513,19255739.82,15784
1.59988E+12,9/12/2020 3:00,BTC/USDT,10345,10358.4,10322.55,10342.39,2098.841,21707069.09,16656
1.59988E+12,9/12/2020 2:00,BTC/USDT,10368.74,10372.24,10328,10345,3374.699,34911456.71,19218
1.59987E+12,9/12/2020 1:00,BTC/USDT,10348.77,10380.76,10346.12,10368.73,2599.878,26942878.82,17239
1.59987E+12,9/12/2020 0:00,BTC/USDT,10387.81,10399.96,10331.51,10348.76,4251.608,44031369.03,19201
1.59987E+12,9/11/2020 23:00,BTC/USDT,10360.16,10397.76,10346.29,10387.81,4239.65,43971452.25,17311
1.59986E+12,9/11/2020 22:00,BTC/USDT,10342.99,10397.85,10342.98,10360.15,6784.894,70383893.72,23491
1.59986E+12,9/11/2020 21:00,BTC/USDT,10325.11,10343,10320.32,10342.99,2187.112,22598359.31,14584
1.59985E+12,9/11/2020 20:00,BTC/USDT,10324.68,10335.3,10307.75,10325.11,1812.356,18703224.71,13613
1.59985E+12,9/11/2020 19:00,BTC/USDT,10315.32,10337.48,10295.02,10324.68,3664.182,37818500.55,17355
1.59985E+12,9/11/2020 18:00,BTC/USDT,10299.99,10327.78,10295.44,10315.32,2812.05,29000477.19,17469
1.59984E+12,9/11/2020 17:00,BTC/USDT,10308.88,10317.68,10270,10300,5313.462,54669633.12,22666
1.59984E+12,9/11/2020 16:00,BTC/USDT,10319.09,10347.44,10301.06,10308.89,5572.194,57519197.14,25725
1.59984E+12,9/11/2020 15:00,BTC/USDT,10290.99,10330,10290.99,10319.09,5848.815,60340341.86,24971
1.59983E+12,9/11/2020 14:00,BTC/USDT,10264,10301.76,10255,10290.99,6196.927,63687230.95,24856
1.59983E+12,9/11/2020 13:00,BTC/USDT,10289.9,10320,10252,10264.01,8038.285,82726519.69,26919
1.59983E+12,9/11/2020 12:00,BTC/USDT,10256.26,10292.99,10251.32,10289.89,3842.644,39468759.81,20780
1.59982E+12,9/11/2020 11:00,BTC/USDT,10287.62,10307.06,10252.3,10256.26,5909.366,60726620.2,21456
